;;;;;Games;Games;0-19;0-19;20-29;20-29;30-39;30-39;40-49;40-49;50;50;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Scoring;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Kickoffs;Punting;Punting;Punting;Punting;Punting
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg;Pnt;Yds;Lng;Blck;Y/P
1;Ka'imi Fairbairn\FairKa01;HOU;24;K;16;0;1;1;9;9;11;11;15;12;6;4;42;37;54;88.1%;41;39;95.1%;92;5885;58;63.0%;64.0;;;;;
2;Justin Tucker+\TuckJu00;BAL;29;K;16;0;;;12;12;9;9;11;9;7;5;39;35;56;89.7%;37;36;97.3%;92;5765;58;63.0%;62.7;;;;;
3;Mason Crosby\CrosMa20;GNB;34;K;16;0;;;4;4;11;10;15;11;7;5;37;30;53;81.1%;36;34;94.4%;83;5168;41;49.4%;62.3;;;;;
4;Brett Maher\MaheBr01;DAL;29;K;16;0;;;10;10;8;6;11;7;7;6;36;29;62;80.6%;33;32;97.0%;77;4984;52;67.5%;64.7;;;;;
5;Jason Myers*\MyerJa00;NYJ;27;K;16;0;;;4;4;13;12;12;11;7;6;36;33;56;91.7%;33;30;90.9%;82;5255;60;73.2%;64.1;;;;;
6;Robbie Gould\gouldrob01;SFO;36;K;16;0;;;9;9;13;13;10;9;2;2;34;33;53;97.1%;29;27;93.1%;4;102;;;25.5;;;;;
7;Aldrick Rosas*\RosaAl00;NYG;24;K;16;0;;;9;9;13;13;6;6;5;4;33;32;57;97.0%;32;31;96.9%;85;5186;51;60.0%;61.0;;;;;
8;Stephen Gostkowski\GostSt20;NWE;34;K;16;0;;;11;11;10;10;6;4;5;2;32;27;52;84.4%;50;49;98.0%;93;5784;50;53.8%;62.2;;;;;
9;Matt Prater\PratMa20;DET;34;K;16;0;;;8;8;12;12;7;5;5;3;32;28;54;87.5%;30;30;100.0%;6;343;3;50.0%;57.2;;;;;
10;Jake Elliott\ElliJa03;PHI;23;K;16;0;;;7;7;11;10;8;7;5;2;31;26;56;83.9%;35;33;94.3%;82;5210;57;69.5%;63.5;;;;;
11;Greg Zuerlein\ZuerGr00;LAR;31;K;11;0;;;9;9;10;10;6;4;6;4;31;27;56;87.1%;36;35;97.2%;75;4843;57;76.0%;64.6;;;;;
12;Wil Lutz\LutzWi00;NOR;24;K;16;0;1;1;5;5;9;9;12;11;3;2;30;28;54;93.3%;53;52;98.1%;101;6503;64;63.4%;64.4;;;;;
13;Cody Parkey\ParkCo03;CHI;26;K;16;0;;;6;6;10;7;12;9;2;1;30;23;50;76.7%;45;42;93.3%;89;5627;65;73.0%;63.2;;;;;
14;Ryan Succop\SuccRy44;TEN;32;K;16;0;;;6;5;13;13;7;5;4;3;30;26;54;86.7%;31;28;90.3%;70;4480;45;64.3%;64.0;;;;;
15;Dustin Hopkins\HopkDu00;WAS;28;K;16;0;;;5;5;7;7;12;10;5;4;29;26;56;89.7%;26;25;96.2%;70;4443;56;80.0%;63.5;;;;;
16;Dan Bailey\BailDa00;MIN;30;K;14;0;;;6;5;11;11;9;4;2;1;28;21;52;75.0%;31;30;96.8%;69;4164;35;50.7%;60.3;;;;;
17;Stephen Hauschka\HausSt00;BUF;33;K;16;0;;;3;3;8;8;10;7;7;4;28;22;54;78.6%;26;25;96.2%;66;3958;30;45.5%;60.0;;;;;
18;Harrison Butker\ButkHa00;KAN;23;K;16;0;;;9;9;7;7;7;6;4;2;27;24;54;88.9%;69;65;94.2%;110;7000;72;65.5%;63.6;;;;;
19;Sebastian Janikowski\janikseb01;SEA;40;K;16;0;;;2;2;11;9;9;8;5;3;27;22;56;81.5%;51;48;94.1%;74;4648;42;56.8%;62.8;;;;;
20;Adam Vinatieri\vinatada01;IND;46;K;16;0;;;8;8;7;6;6;5;6;4;27;23;54;85.2%;47;44;93.6%;;;;;;;;;;
21;Brandon McManus\McMaBr01;DEN;27;K;16;0;;;5;5;6;6;7;7;7;2;25;20;53;80.0%;35;35;100.0%;73;4473;42;57.5%;61.3;;;;;
22;Randy Bullock\BullRa00;CIN;29;K;16;0;;;4;4;8;7;6;6;5;2;23;19;51;82.6%;41;39;95.1%;79;4969;45;57.0%;62.9;;;;;
23;Matt Bryant\bryanmat01;ATL;43;K;13;0;;;4;4;5;5;7;7;5;4;21;20;57;95.2%;35;33;94.3%;;;;;;;;;;
24;Daniel Carlson\CarlDa00;2TM;23;;12;0;;;2;2;4;3;12;9;3;3;21;17;50;81.0%;24;24;100.0%;54;3334;29;53.7%;61.7;;;;;
25;Josh Lambo\LambJo00;JAX;28;K;13;0;;;4;4;8;8;4;3;5;4;21;19;57;90.5%;20;19;95.0%;54;3283;36;66.7%;60.8;;;;;
26;Chris Boswell\BoswCh00;PIT;27;K;15;0;;;3;3;6;4;10;5;1;1;20;13;50;65.0%;48;43;89.6%;81;5097;50;61.7%;62.9;;;;;
27;Chandler Catanzaro\CataCh00;2TM;27;;13;0;;;4;4;10;9;3;;3;3;20;16;59;80.0%;35;30;85.7%;65;4118;52;80.0%;63.4;;;;;
28;Greg Joseph\JoseGr00;CLE;24;K;14;0;;;4;4;7;7;7;5;2;1;20;17;51;85.0%;29;25;86.2%;69;4340;47;68.1%;62.9;;;;;
29;Jason Sanders\SandJa00;MIA;23;K;16;0;;;7;7;3;3;9;7;1;1;20;18;50;90.0%;36;35;97.2%;70;4395;55;78.6%;62.8;;;;;
30;Cairo Santos\SantCa01;2TM;27;;9;0;1;1;4;4;6;6;6;3;1;;18;14;45;77.8%;23;22;95.7%;49;2977;19;38.8%;60.8;;;;;
31;Michael Badgley\BadgMi00;LAC;23;K;10;0;;;4;4;5;5;5;5;2;1;16;15;59;93.8%;28;27;96.4%;;;;;;;;;;
32;Graham Gano\GanoGr44;CAR;31;K;12;0;;;3;3;5;4;4;4;4;3;16;14;63;87.5%;33;30;90.9%;62;3940;47;75.8%;63.5;;;;;
33;Zane Gonzalez\GonzZa00;2TM;23;;7;0;;;1;1;4;4;4;2;5;2;14;9;55;64.3%;11;8;72.7%;28;1802;17;60.7%;64.4;;;;;
34;Caleb Sturgis\SturCa00;LAC;29;k;6;0;;;4;4;2;2;6;3;1;;13;9;49;69.2%;15;9;60.0%;;;;;;1;24;24;0;24.0
35;Matthew McCrane\McCrMa00;3TM;24;;5;0;;;3;3;2;2;5;3;2;;12;8;47;66.7%;9;9;100.0%;21;1250;5;23.8%;59.5;;;;;
36;Phil Dawson\dawsophi01;ARI;43;K;10;0;;;2;2;2;2;3;1;1;;8;5;43;62.5%;15;15;100.0%;32;1982;14;43.8%;61.9;;;;;
37;Mike Nugent\nugenmik01;OAK;36;k;3;0;;;3;3;;;2;2;1;1;6;6;52;100.0%;5;4;80.0%;14;858;6;42.9%;61.3;;;;;
38;Kai Forbath\ForbKa00;JAX;31;k;3;0;;;2;2;1;1;1;1;1;;5;4;41;80.0%;3;3;100.0%;;;;;;;;;;
39;Giorgio Tavecchio\TaveGi00;ATL;28;k;3;0;;;1;1;;;2;2;2;2;5;5;56;100.0%;8;8;100.0%;;;;;;;;;;
40;Sam Ficken\FickSa00;LAR;26;k;2;0;;;1;;1;1;1;;;;3;1;34;33.3%;10;10;100.0%;13;804;11;84.6%;61.8;;;;;
41;Johnny Hekker\HekkJo00;LAR;28;P;16;0;;;1;1;;;;;;;1;1;20;100.0%;1;1;100.0%;6;381;2;33.3%;63.5;43;1992;68;0;46.3
42;Andy Lee\LeexAn20;ARI;36;P;16;0;;;;;;;;;;;;;;;;;;1;68;;;68.0;94;4568;64;0;48.6
43;Matt Haack\HaacMa00;MIA;24;P;16;0;;;;;;;;;;;;;;;;;;;;;;;87;3884;65;1;44.6
44;Logan Cooke\CookLo00;JAX;23;P;16;0;;;;;;;;;;;;;;;;;;10;625;5;50.0%;62.5;86;3872;72;0;45.0
45;Britton Colquitt\ColqBr00;CLE;33;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56.0;83;3767;79;2;45.4
46;Lac Edwards\EdwaLa01;NYJ;26;P;16;0;;;;;;;;;;;;;;;;;;1;56;;;56.0;82;3763;67;0;45.9
47;Tress Way\WayxTr00;WAS;28;P;16;0;;;;;;;;;;;;;;;;;;;;;;;79;3581;63;0;45.3
48;Michael Dickson*+\DickMi00;SEA;22;P;16;0;;;;;;;;;;;;;;;;;;9;407;;;45.2;78;3759;69;1;48.2
49;Trevor Daniel\DaniTr00;HOU;24;P;16;0;;;;;;;;;;;;;;;;;;;;;;;74;3237;61;0;43.7
50;Brett Kern*\KernBr20;TEN;32;P;16;0;;;;;;;;;;;;;;;;;;1;43;;;43.0;74;3483;62;1;47.1
51;Sam Martin\MartSa01;DET;28;P;16;0;;;;;;;;;;;;;;;;;;73;4459;34;46.6%;61.1;74;3310;61;0;44.7
52;Matt Wile\WileMa01;MIN;26;K/P;16;0;;;;;;;;;;;;;;;;;;;;;;;72;3255;70;1;45.2
53;Riley Dixon\DixoRi00;NYG;25;P;16;0;;;;;;;;;;;;;;;;;;;;;;;71;3226;60;0;45.4
54;Kevin Huber\HubeKe20;CIN;33;P;16;0;;;;;;;;;;;;;;;;;;;;;;;71;3119;69;1;43.9
55;JK Scott\ScotJK00;GNB;22;P;16;0;;;;;;;;;;;;;;;;;;1;61;;;61.0;71;3176;67;1;44.7
56;Johnny Townsend\TownJo01;OAK;23;P;16;0;;;;;;;;;;;;;;;;;;;;;;;70;3022;64;0;43.2
57;Bradley Pinion\PiniBr00;SFO;24;P;16;0;;;;;;;;;;;;;;;;;;77;4963;52;67.5%;64.5;68;2973;64;1;43.7
58;Colby Wadman\WadmCo00;DEN;23;P;12;0;;;;;;;;;;;;;;;;;;;;;;;65;2905;65;0;44.7
59;Ryan Allen\AlleRy01;NWE;28;P;16;0;;;;;;;;;;;;;;;;;;;;;;;64;2885;66;0;45.1
60;Jordan Berry\BerrJo00;PIT;27;P;16;0;;;;;;;;;;;;;;;;;;;;;;;63;2753;69;0;43.7
61;Pat O'Donnell\ODonPa00;CHI;27;P;16;0;;;;;;;;;;;;;;;;;;;;;;;62;2791;65;1;45.0
62;Cameron Johnston\JohnCa02;PHI;26;P;16;0;;;;;;;;;;;;;;;;;;;;;;;61;2937;68;0;48.1
63;Michael Palardy\PalaMi00;CAR;26;P;16;0;;;;;;;;;;;;;;;;;;;;;;;61;2759;59;0;45.2
64;Matthew Bosher\BoshMa00;ATL;31;P;16;0;;;;;;;;;;;;;;;;;;89;5578;51;57.3%;62.7;60;2729;57;2;45.5
65;Chris Jones\JoneCh02;DAL;29;P;16;0;;;;;;;;;;;;;;;;;;;;;;;60;2670;63;0;44.5
66;Sam Koch\KochSa20;BAL;36;P;16;0;;;;;;;;;;;;;;;;;;;;;;;60;2842;65;1;47.4
67;Bryan Anger\AngeBr00;TAM;30;P;16;0;;;;;;;;;;;;;;;;;;1;73;;;73.0;57;2567;64;1;45.0
68;Rigoberto Sanchez\SancRi00;IND;24;P;16;0;;;;;;;;;;;;;;;;;;88;5435;59;67.0%;61.8;57;2629;63;0;46.1
69;Donnie Jones\JoneDo21;LAC;38;P;12;0;;;;;;;;;;;;;;;;;;;;;;;47;1990;59;0;42.3
70;Corey Bojorquez\BojoCo00;BUF;22;P;8;0;;;;;;;;;;;;;;;;;;;;;;;45;2028;60;1;45.1
71;Dustin Colquitt\ColqDu20;KAN;36;P;16;0;;;;;;;;;;;;;;;;;;1;60;;;60.0;45;2021;67;0;44.9
72;Thomas Morstead\MorsTh00;NOR;32;P;16;0;;;;;;;;;;;;;;;;;;2;95;;;47.5;43;1996;60;0;46.4
73;Matt Darr\DarrMa00;BUF;26;p;5;0;;;;;;;;;;;;;;;;;;;;;;;20;809;55;0;40.5
74;Marquette King\KingMa00;DEN;30;p;4;0;;;;;;;;;;;;;;;;;;;;;;;20;881;66;0;44.1
75;Colton Schmidt\SchmCo00;BUF;28;p;3;0;;;;;;;;;;;;;;;;;;;;;;;16;676;55;0;42.3
76;Drew Kaser\KaseDr00;LAC;25;p;4;0;;;;;;;;;;;;;;;;;;;;;;;13;629;66;1;48.4
77;Ben Roethlisberger\RoetBe00;PIT;36;QB;16;16;;;;;;;;;;;;;;;;;;;;;;;1;27;27;0;27.0