,Tm,FantPos,Age,G,GS,Cmp_p,Att_p,Yds_p,TD_p,Int_p,Att_r,Yds_r,Y/A_r,TD_r,Tgt_c,Rec_c,Yds_c,Y/R_c,TD_c,Fmb_f,FL_f,TD_f,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Christian McCaffrey,CAR,RB,23,32,32,1,3,50,1,0,506,2485,9.84,22,266,223,1872,16.759999999999998,10,5,1,32,,,634.0,856.7,869.7,745.2,358.0,4,4.0
Lamar Jackson,BAL,QB,22,31,22,364,571,4328,42,9,323,1901,11.58,12,2,0,0,,0,21,6,12,,,574.0,573.2,600.2,582.2,,30,
Derrick Henry,TEN,RB,25,31,27,2,3,14,0,0,518,2599,10.01,28,42,33,305,18.04,2,6,4,30,,,463.0,496.0,509.0,479.5,187.0,15,33.0
Aaron Jones,GNB,RB,25,28,24,0,0,0,0,0,369,1812,10.059999999999999,24,103,75,680,17.59,4,4,3,28,,,411.0,486.20000000000005,501.20000000000005,448.70000000000005,135.0,26,66.0
Ezekiel Elliott,DAL,RB,24,31,31,0,0,0,0,0,605,2791,9.23,18,166,131,987,15.14,5,9,3,23,,,510.0,640.8,655.8,575.3,234.0,9,12.0
Dalvin Cook,MIN,RB,24,25,24,0,0,0,0,0,383,1750,9.16,15,112,93,824,17.419999999999998,2,6,4,17,,,351.0,444.4,460.4,397.9,,36,
Michael Thomas,NOR,WR,26,32,31,0,0,0,0,0,1,-9,,0,332,274,3130,22.82,18,3,2,18,,,417.0,690.1,698.1,553.1,171.0,9,26.0
Travis Kelce,KAN,TE,30,32,32,0,0,0,0,0,1,4,,1,286,200,2565,25.64,15,3,2,16,,,349.0,548.9000000000001,556.9000000000001,448.9,189.0,2,16.0
Nick Chubb,CLE,RB,24,32,25,0,0,0,0,0,490,2490,10.2,16,78,56,427,15.17,2,3,3,18,,,394.0,449.7,464.7,421.7,118.0,21,49.0
Austin Ekeler,LAC,RB,24,30,11,0,0,0,0,0,238,1111,9.45,6,161,131,1397,21.15,11,4,3,17,,,347.0,477.8,492.8,412.3,,34,
Mark Ingram,BAL,RB,30,27,21,0,0,0,0,0,340,1663,9.71,16,56,47,417,17.6,6,5,3,22,,,339.0,385.0,400.0,361.5,,36,
Dak Prescott,DAL,QB,26,32,32,744,1122,8787,52,19,127,582,9.4,9,1,0,0,,0,18,8,9,,2.0,624.0,623.7,662.7,642.7,77.0,12,81.0
Mark Andrews,BAL,TE,23,31,7,0,0,0,0,0,0,0,,0,148,98,1404,29.549999999999997,13,2,1,13,,,216.0,314.4,321.4,265.4,,18,
Russell Wilson,SEA,QB,31,32,32,621,943,7558,66,12,142,718,10.17,3,1,1,-11,,0,18,4,3,,2.0,627.0,628.0,656.0,639.5,81.0,12,72.0
Chris Godwin,TAM,WR,23,30,19,0,0,0,0,0,1,8,,0,216,145,2175,29.77,16,4,1,16,2.0,,316.0,461.3,468.3,388.79999999999995,71.0,27,78.0
George Kittle,SFO,TE,26,30,30,0,0,0,0,0,6,32,14.4,0,243,173,2430,28.04,10,1,0,10,,,309.0,481.2,487.2,394.7,149.0,5,31.0
Deshaun Watson,HOU,QB,24,31,31,678,1000,8017,52,21,181,964,10.61,12,1,1,6,,1,19,6,13,,,652.0,652.7,691.7,673.2,105.0,8,48.0
Chris Carson,SEA,RB,25,29,29,0,0,0,0,0,525,2381,9.08,16,71,57,429,15.34,2,10,6,18,,,377.0,434.0,452.0,405.5,101.0,23,55.0
Darren Waller,OAK,TE,27,20,16,0,0,0,0,0,3,26,23.5,0,123,96,1220,25.22,3,1,1,3,,,141.0,236.6,240.6,188.6,,83,
Kenny Golladay,DET,WR,26,31,29,0,0,0,0,0,1,8,,0,235,135,2253,33.5,16,2,1,16,,,320.0,455.1,462.1,387.6,75.0,24,74.0
Saquon Barkley,NYG,RB,22,29,29,0,0,0,0,0,478,2310,9.629999999999999,17,194,143,1159,16.34,6,1,0,23,,,487.0,629.9,641.9,558.4,211.0,12,23.0
Zach Ertz,PHI,TE,29,31,31,0,0,0,0,0,0,0,,0,291,204,2079,20.439999999999998,14,2,1,14,,,292.0,495.9,502.9,393.9,132.0,8,39.0
Joe Mixon,CIN,RB,23,30,28,0,0,0,0,0,515,2305,9.02,13,100,78,583,15.079999999999998,4,0,0,17,,,390.0,468.8,480.8,429.8,115.0,20,47.0
Todd Gurley,LAR,RB,25,29,29,0,0,0,0,0,479,2108,8.73,29,130,90,787,16.509999999999998,6,4,3,35,4.0,,501.0,591.5,606.5,546.5,226.0,13,25.0
Jared Cook,NOR,TE,32,30,21,0,0,0,0,0,0,0,,0,166,111,1601,29.58,15,0,0,15,,,251.0,361.1,367.1,305.6,91.0,11,64.0
Cooper Kupp,LAR,WR,26,24,22,0,1,0,0,0,6,29,8.25,0,189,134,1727,26.5,16,3,0,16,,,272.0,405.6,411.6,338.6,,51,
Julio Jones,ATL,WR,30,31,31,0,0,0,0,0,4,9,4.5,0,327,212,3071,28.92,14,3,2,14,,,388.0,600.0,608.0,494.0,143.0,10,39.0
DeVante Parker,MIA,WR,26,27,21,0,0,0,0,0,0,0,,0,175,96,1511,29.57,10,0,0,10,,,211.0,307.09999999999997,313.09999999999997,259.09999999999997,,113,
Leonard Fournette,JAX,RB,24,23,23,0,0,0,0,0,398,1591,7.6499999999999995,8,126,98,707,15.280000000000001,1,1,1,9,,,281.0,379.79999999999995,392.79999999999995,330.8,,50,
Jameis Winston,TAM,QB,25,27,25,624,1004,8101,52,44,108,531,9.97,2,0,0,0,,0,19,8,2,,,501.0,501.2,565.2,545.2,,27,
Austin Hooper,ATL,TE,25,29,17,0,0,0,0,0,0,0,,0,185,146,1447,19.79,10,0,0,10,2.0,,209.0,354.7,360.7,281.7,49.0,14,95.0
Amari Cooper,DAL,WR,25,31,31,0,0,0,0,0,3,26,16.0,0,226,154,2194,28.450000000000003,15,2,2,15,,,309.0,462.0,470.0,385.0,62.0,26,83.0
Mike Evans,TAM,WR,26,29,29,0,0,0,0,0,0,0,,0,256,153,2681,34.989999999999995,16,2,1,17,,,364.0,523.0999999999999,530.0999999999999,446.6,119.0,14,49.0
DeAndre Hopkins,HOU,WR,27,31,31,1,3,6,1,1,3,11,2.0,0,313,219,2737,24.869999999999997,18,2,2,18,,,384.0,602.0,611.0,493.5,137.0,14,46.0
Keenan Allen,LAC,WR,27,32,30,0,0,0,0,0,12,91,13.66,0,285,201,2395,23.86,12,3,1,12,,,321.0,521.6,528.6,421.1,75.0,25,72.0
Allen Robinson,CHI,WR,26,29,27,0,0,0,0,0,2,11,11.0,0,248,153,1901,25.41,11,1,1,11,,,255.0,408.20000000000005,415.2,331.7,,53,
Julian Edelman,NWE,WR,33,28,25,4,4,90,1,0,17,134,15.27,0,261,174,1967,22.66,12,4,1,12,,,289.0,463.70000000000005,473.70000000000005,376.70000000000005,44.0,36,97.0
Alvin Kamara,NOR,RB,24,29,22,1,1,13,0,0,365,1680,9.21,19,202,162,1242,15.33,5,5,1,24,,,441.0,602.7,615.7,521.7,165.0,20,45.0
Marlon Mack,IND,RB,23,26,22,0,0,0,0,0,442,1999,9.08,17,43,31,185,11.92,1,2,2,18,3.0,,328.0,359.4,370.4,343.9,53.0,36,91.0
Jarvis Landry,CLE,WR,27,32,30,1,2,63,0,0,4,70,30.0,1,287,164,2150,26.19,10,1,1,11,,,290.0,454.5,461.5,372.5,45.0,36,98.0
Josh Allen,BUF,QB,23,28,27,440,781,5163,30,21,198,1141,11.77,17,1,0,0,,0,22,6,17,,3.0,497.0,496.70000000000005,535.7,517.7,,27,
Tyler Lockett,SEA,WR,27,32,30,0,0,0,0,0,17,64,4.06,0,180,139,2022,29.82,18,3,0,18,,,318.0,457.6,463.6,388.1,73.0,26,77.0
DJ Chark,JAX,WR,23,26,14,0,0,0,0,0,2,20,,0,150,87,1182,26.240000000000002,8,1,1,8,,,168.0,255.20000000000002,262.2,211.70000000000002,,168,
Kenyan Drake,2TM,RB,25,30,17,0,0,0,0,0,290,1352,9.27,12,141,103,822,15.9,5,4,2,17,,,317.0,420.4,434.4,368.9,42.0,39,103.0
Patrick Mahomes,KAN,QB,24,30,30,702,1064,9128,76,17,103,490,9.600000000000001,4,0,0,0,,0,12,4,4,,,704.0,704.1,737.1,721.1,157.0,8,53.0
Phillip Lindsay,DEN,RB,25,31,24,0,0,0,0,0,416,2048,9.91,16,95,70,437,12.489999999999998,1,0,0,17,,,351.0,420.5,432.5,385.5,74.0,31,78.0
Courtland Sutton,DEN,WR,24,32,23,1,1,38,0,0,4,16,4.67,0,208,114,1816,32.2,10,2,0,10,,,244.0,358.70000000000005,364.70000000000005,301.7,,65,
Stefon Diggs,MIN,WR,26,30,29,0,1,0,0,0,15,123,18.4,0,243,165,2151,27.950000000000003,15,4,3,15,,,313.0,478.4,487.4,395.9,68.0,30,85.0
John Brown,BUF,WR,29,31,30,1,1,28,1,0,5,11,4.83,0,212,114,1775,31.740000000000002,11,0,0,11,,,250.0,363.70000000000005,369.70000000000005,306.70000000000005,,58,
Hunter Henry,LAC,TE,25,12,12,0,0,0,0,0,0,0,,0,76,55,652,,5,1,1,5,,,,,,,,139,
Michael Gallup,DAL,WR,23,30,20,0,0,0,0,0,0,0,,0,181,99,1614,32.129999999999995,8,0,0,8,,,212.0,310.4,316.4,260.9,,96,
Aaron Rodgers,GNB,QB,36,32,32,725,1166,8444,51,6,89,452,10.24,3,0,0,0,,0,10,7,3,2.0,4.0,591.0,591.0,616.0,597.0,45.0,15,99.0
Tyler Higbee,LAR,TE,26,31,31,0,0,0,0,0,0,0,,0,123,93,1026,22.810000000000002,5,1,0,5,,,132.0,225.60000000000002,231.60000000000002,179.10000000000002,,41,
D.J. Moore,CAR,WR,22,31,25,0,0,0,0,0,19,212,19.9,0,217,142,1963,27.84,6,6,4,6,,,246.0,387.5,400.5,316.5,,59,
Robert Woods,LAR,WR,27,31,31,0,0,0,0,0,36,272,15.02,2,269,176,2353,26.77,8,0,0,10,,,323.0,498.5,510.5,410.5,77.0,32,84.0
Carson Wentz,PHI,QB,27,27,27,667,1008,7113,48,14,96,336,6.66,1,1,1,4,,0,25,13,1,,3.0,469.0,469.59999999999997,505.59999999999997,483.09999999999997,,33,
Raheem Mostert,SFO,RB,27,25,0,0,0,0,0,0,171,1033,13.32,9,29,20,205,17.03,2,3,3,11,,,184.0,203.79999999999998,215.79999999999998,193.79999999999998,,101,
Dallas Goedert,PHI,TE,24,31,17,0,0,0,0,0,0,0,,0,131,91,941,20.59,9,2,2,9,,,144.0,235.1,243.1,189.60000000000002,,30,
Mike Gesicki,MIA,TE,24,32,12,0,0,0,0,0,0,0,,0,121,73,772,20.36,5,2,2,5,,,103.0,176.2,184.2,139.7,,74,
Calvin Ridley,ATL,WR,25,29,15,0,0,0,0,0,8,61,21.5,0,185,127,1687,26.58,17,2,1,17,,,277.0,403.8,410.8,340.3,31.0,41,112.0
Tyler Boyd,CIN,WR,25,30,29,0,1,0,0,0,6,26,7.25,0,256,166,2074,25.15,12,2,2,12,,,278.0,444.0,452.0,361.0,33.0,42,112.0
Matt Ryan,ATL,QB,34,31,31,830,1224,9390,61,21,67,272,8.11,4,1,1,5,,1,19,10,5,,3.0,621.0,622.3,665.3,642.8,75.0,13,90.0
Marvin Jones,DET,WR,29,22,20,0,0,0,0,0,2,0,,0,153,97,1287,27.07,14,0,0,14,,,213.0,309.7,315.7,261.2,,83,
Carlos Hyde,HOU,RB,29,30,21,0,0,0,0,0,417,1641,7.6899999999999995,11,32,20,75,7.5,0,6,3,11,,,231.0,251.6,260.6,241.6,,67,
Tyreek Hill,KAN,WR,25,28,28,0,0,0,0,0,30,174,9.74,1,226,145,2339,31.83,19,0,0,21,,,377.0,522.3,531.3,449.8,132.0,29,79.0
Davante Adams,GNB,WR,27,27,27,0,0,0,0,0,0,0,,0,296,194,2383,24.5,18,2,1,18,2.0,,349.0,542.3,549.3,445.3,103.0,32,84.0
Sony Michel,NWE,RB,24,29,22,0,0,0,0,0,456,1843,8.14,13,31,19,144,14.969999999999999,0,3,2,13,,,273.0,291.7,299.7,282.2,,49,
Tom Brady,NWE,QB,42,32,32,748,1183,8412,53,19,49,69,2.83,5,1,1,6,,0,8,3,5,,,544.0,545.0,573.0,563.5,,26,
Michael Burton,WAS,,27,18,3,0,0,0,0,0,0,0,,0,2,1,6,,0,0,0,0,,,,,,,,152,
Jared Goff,LAR,QB,25,32,32,758,1187,9326,54,28,76,148,3.7199999999999998,4,0,0,0,,0,22,10,5,,,558.0,563.8,610.8,591.8,,20,
Jimmy Garoppolo,SFO,QB,28,19,19,382,565,4696,32,16,54,95,5.48,1,0,0,0,,0,14,5,1,,3.0,295.0,295.3,322.3,311.3,,54,
Derek Carr,OAK,QB,28,32,32,742,1066,8103,40,18,51,129,5.0,3,1,1,-9,,0,19,10,3,,,460.0,461.20000000000005,495.2,478.70000000000005,,34,
Kirk Cousins,MIN,QB,31,31,31,732,1050,7901,56,16,75,186,4.83,2,2,1,-1,,0,19,10,2,,4.0,526.0,527.5,562.5,543.0,,28,
Ryan Fitzpatrick,MIA,QB,37,23,20,475,748,5895,37,25,90,395,8.719999999999999,6,0,0,0,,0,13,3,6,,2.0,407.0,407.3,447.3,432.3,,45,
Philip Rivers,LAC,QB,38,32,32,737,1099,8923,55,32,30,36,2.81,0,0,0,0,,0,10,4,0,,6.0,521.0,520.5,562.5,552.5,,29,
Baker Mayfield,CLE,QB,24,30,29,627,1020,7552,49,35,67,272,8.4,3,1,0,0,,0,13,5,3,,2.0,469.0,469.29999999999995,521.3,504.29999999999995,,36,
Drew Brees,NOR,QB,40,26,26,645,867,6971,59,9,40,18,0.26999999999999996,5,1,1,1,,0,5,1,5,,,529.0,529.8,545.8,538.3,,29,
Ryan Tannehill,TEN,QB,31,23,21,377,560,4721,39,15,75,330,8.83,4,1,1,3,,1,11,7,5,,,366.0,367.2,401.2,381.7,,52,
Jacoby Brissett,IND,QB,27,19,15,274,451,2944,18,6,63,221,3.0700000000000003,4,1,1,2,,0,7,5,4,,,216.0,217.1,234.1,222.6,,95,
Andy Dalton,CIN,QB,32,24,24,540,893,6060,37,25,48,172,8.47,4,1,1,-4,,0,9,4,4,,,378.0,378.2,413.2,402.7,,51,
Mitchell Trubisky,CHI,QB,25,29,29,615,950,6361,41,22,116,614,10.21,5,0,0,0,,0,11,5,5,,5.0,466.0,465.8,504.8,487.8,,40,
Sam Darnold,NYJ,QB,22,26,26,512,855,5889,36,28,77,200,5.02,3,0,0,0,,0,16,5,3,,,357.0,357.6,399.6,385.6,,54,
Kyle Allen,CAR,QB,23,15,13,323,520,3588,19,16,37,125,7.109999999999999,3,0,0,0,,0,13,7,3,,,204.0,204.0,233.0,220.0,,75,
Matthew Stafford,DET,QB,31,24,24,554,846,6276,40,16,45,137,6.14,0,0,0,0,,0,11,7,0,,,379.0,378.79999999999995,407.79999999999995,394.79999999999995,,49,
Devonta Freeman,ATL,RB,27,16,16,0,0,0,0,0,198,724,8.43,2,77,64,433,11.55,4,3,2,6,,,148.0,211.7,219.7,179.7,,133,
Melvin Gordon,LAC,RB,26,24,23,0,0,0,0,0,337,1497,8.84,18,121,92,786,16.85,5,5,3,23,,,365.0,456.3,471.3,410.3,,31,
Ronald Jones,TAM,RB,22,25,9,0,0,0,0,0,195,768,6.12,7,49,38,342,14.68,0,3,2,7,,,149.0,187.0,195.0,168.0,,125,
Adrian Peterson,WAS,RB,34,31,31,0,0,0,0,0,462,1940,8.41,12,49,37,350,18.75,1,6,4,13,,,299.0,336.0,352.0,317.5,,44,
James White,NWE,RB,27,31,4,1,1,35,0,0,161,688,8.45,6,218,159,1396,17.590000000000003,12,1,1,18,,,318.0,476.8,489.8,397.29999999999995,,40,
Odell Beckham,CLE,WR,27,28,27,3,4,126,2,0,8,29,7.13,0,257,151,2087,27.65,10,3,2,10,,,280.0,431.6,439.6,356.1,,47,
Emmanuel Sanders,2TM,WR,32,29,28,2,2,63,2,0,4,53,,1,195,137,1737,25.4,9,1,0,10,,,251.0,388.5,394.5,320.0,,56,
Latavius Murray,NOR,RB,29,32,14,0,0,0,0,0,286,1215,8.49,11,69,56,376,13.32,1,0,0,12,,,233.0,289.1,301.1,261.1,,62,
Jamison Crowder,NYJ,WR,26,25,19,0,0,0,0,0,5,34,11.5,0,171,107,1221,24.060000000000002,8,0,0,8,,,174.0,280.5,286.5,227.0,,117,
Cole Beasley,BUF,WR,30,31,14,0,1,0,0,0,0,0,,0,193,132,1450,21.95,9,0,0,9,,,203.0,335.0,341.0,269.0,,88,
Curtis Samuel,CAR,WR,23,29,23,0,0,0,0,0,27,214,17.34,3,170,93,1121,24.28,11,1,1,14,,,216.0,308.5,318.5,262.0,,78,
Tevin Coleman,SFO,RB,26,30,25,0,0,0,0,0,304,1344,8.76,10,74,53,456,17.200000000000003,6,2,0,16,,,276.0,329.0,341.0,302.5,,50,
James Conner,PIT,RB,24,23,22,0,0,0,0,0,331,1437,8.530000000000001,16,109,89,748,16.419999999999998,4,5,3,20,,,337.0,425.5,440.5,381.0,,40,
Mike Williams,LAC,WR,25,31,20,0,0,0,0,0,8,30,6.0,1,156,92,1665,35.87,12,0,0,13,,,249.0,341.5,347.5,295.5,,57,
Damien Williams,KAN,RB,27,27,9,0,0,0,0,0,161,754,9.61,9,61,53,373,14.059999999999999,4,2,2,13,,,187.0,239.7,253.7,213.2,,85,
Robby Anderson,NYJ,WR,26,30,24,0,0,0,0,0,3,-4,0.0,0,190,102,1531,30.02,11,3,2,11,,,216.0,318.70000000000005,326.70000000000005,267.70000000000005,,74,
Chris Conley,JAX,WR,27,32,27,0,0,0,0,0,0,0,,0,142,79,1109,26.93,10,2,2,10,,,169.0,247.9,255.9,208.4,,120,
Duke Johnson,HOU,RB,26,32,4,0,0,0,0,0,123,611,9.97,2,124,91,839,18.450000000000003,6,2,1,8,,,195.0,286.0,299.0,240.5,,83,
Jamaal Williams,GNB,RB,24,30,10,0,0,0,0,0,228,924,8.129999999999999,4,86,66,463,14.27,5,0,0,9,,,194.0,260.70000000000005,272.70000000000005,227.7,,82,
David Johnson,ARI,RB,28,29,25,0,0,0,0,0,352,1285,7.3100000000000005,9,123,86,816,19.2,7,4,3,16,,,303.0,388.1,403.1,345.1,,47,
Case Keenum,WAS,QB,31,26,24,525,833,5597,29,20,35,105,4.91,3,0,0,0,,0,17,5,3,,,318.0,318.4,349.4,338.4,,50,
Golden Tate,NYG,WR,31,26,18,0,0,0,0,0,5,50,24.5,0,198,123,1471,24.54,10,4,1,10,,,212.0,335.1,342.1,273.6,,76,
Larry Fitzgerald,ARI,WR,36,32,32,1,1,32,1,0,0,0,,0,221,144,1538,21.36,10,1,1,10,,,219.0,363.1,370.1,291.1,,70,
Breshad Perriman,TAM,WR,26,24,6,0,0,0,0,0,6,18,8.5,0,94,52,985,39.17,8,0,0,8,,,148.0,200.3,206.3,174.3,,138,
Peyton Barber,TAM,RB,25,32,23,0,0,0,0,0,388,1341,6.77,11,53,36,207,11.79,2,2,2,13,,,231.0,266.8,277.8,248.8,,65,
Jordan Howard,PHI,RB,25,26,19,0,0,0,0,0,369,1460,8.15,15,40,30,214,14.15,1,2,1,16,,,261.0,291.4,301.4,276.4,,58,
Tyrell Williams,OAK,WR,27,30,22,0,0,0,0,0,2,15,,0,129,83,1304,31.43,11,2,0,11,,,198.0,280.9,286.9,239.39999999999998,,90,
Randall Cobb,DAL,WR,29,24,12,0,1,0,0,0,3,11,,0,144,93,1211,25.130000000000003,5,4,2,5,,,148.0,241.2,249.2,194.7,,139,
Christian Kirk,ARI,WR,23,25,20,0,0,0,0,0,13,128,20.97,0,176,111,1299,24.15,6,0,0,6,,,181.0,291.7,297.7,236.2,,103,
Royce Freeman,DEN,RB,23,30,8,0,0,0,0,0,262,1017,7.77,8,70,57,328,11.09,1,1,1,9,,,186.0,243.5,253.5,215.0,,87,
Zach Pascal,IND,WR,25,32,17,0,1,0,0,0,4,26,13.0,0,118,68,875,24.73,7,0,0,7,,,134.0,202.10000000000002,208.10000000000002,168.1,,150,
LeSean McCoy,KAN,RB,31,27,22,0,0,0,0,0,262,979,7.789999999999999,7,80,62,419,13.46,1,3,2,8,,,184.0,245.8,259.79999999999995,214.8,,81,
Dede Westbrook,JAX,WR,26,31,20,0,1,0,0,0,14,125,16.29,0,202,132,1377,20.86,8,4,2,9,,,205.0,336.2,344.2,270.2,,81,
Teddy Bridgewater,NOR,QB,27,14,6,147,219,1502,10,3,39,36,1.56,0,0,0,0,,0,1,0,0,,,97.0,97.7,103.7,100.7,,86,
James Washington,PIT,WR,23,29,16,0,0,0,0,0,0,0,,0,118,60,952,30.259999999999998,4,1,1,4,,,118.0,177.2,184.2,147.2,,176,
Sammy Watkins,KAN,WR,26,24,22,0,0,0,0,0,7,64,16.4,0,145,92,1192,25.92,6,3,1,6,,,162.0,253.6,260.6,207.6,,115,
Gus Edwards,BAL,RB,24,27,7,0,0,0,0,0,270,1429,10.59,4,9,9,65,16.43,0,2,1,4,,,174.0,182.39999999999998,189.39999999999998,177.89999999999998,,88,
DeAndre Washington,OAK,RB,26,26,3,0,0,0,0,0,138,502,7.41,3,42,37,301,17.11,0,1,1,3,,,96.0,133.3,143.3,114.80000000000001,,144,
Tarik Cohen,CHI,RB,24,32,18,1,1,1,1,0,163,657,7.8100000000000005,3,195,150,1181,15.98,8,10,3,11,,,248.0,397.8,412.8,322.8,,61,
Joe Flacco,DEN,QB,34,17,17,403,641,4287,18,11,31,65,4.04,0,0,0,0,,0,11,4,0,,,222.0,222.0,243.0,233.0,,66,
Will Fuller,HOU,WR,25,18,18,0,0,0,0,0,0,0,,0,116,81,1173,29.39,7,1,0,7,,,159.0,240.3,246.3,199.8,,118,
Marcus Mariota,TEN,QB,26,21,19,323,491,3731,18,10,88,486,10.96,2,1,1,21,,0,12,2,2,,,260.0,260.9,284.9,270.4,,57,
Sterling Shepard,NYG,WR,26,26,26,0,0,0,0,0,9,105,23.0,0,190,123,1448,23.32,7,1,0,7,2.0,,202.0,324.3,330.3,262.8,,83,
Matt Breida,SFO,RB,24,27,18,0,0,0,0,0,276,1437,10.39,4,53,46,381,15.99,3,3,2,7,,,220.0,265.8,279.8,242.8,,69,
Adam Thielen,MIN,WR,29,26,26,0,0,0,0,0,9,36,7.5,1,201,143,1791,26.08,15,1,1,16,,,278.0,421.70000000000005,428.70000000000005,350.20000000000005,,63,
Taysom Hill,NOR,QB,29,32,9,6,13,119,0,1,64,352,11.08,3,29,22,238,13.65,6,1,1,9,,,114.0,135.8,146.8,125.80000000000001,,79,
Frank Gore,BUF,RB,36,30,22,0,0,0,0,0,322,1321,8.24,2,32,25,224,18.02,1,1,0,3,,,173.0,197.5,209.5,185.0,,87,
