,Tm,FantPos,Age,G,GS,Cmp_p,Att_p,Yds_p,TD_p,Int_p,Att_r,Yds_r,Y/A_r,TD_r,Tgt_c,Rec_c,Yds_c,Y/R_c,TD_c,Fmb_f,FL_f,TD_f,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Vernon Davis,WAS,TE,35,18,9,0,0,0,0,0,0,0,,0,55,35,490,26.98,3,0,0,3,,,69.0,104.0,110.0,86.5,,83,
Dontrelle Inman,2TM,WR,30,16,5,0,0,0,0,0,0,0,,0,60,40,485,25.939999999999998,3,0,0,3,,,66.0,106.5,112.5,86.5,,232,
Josh Rosen,MIA,QB,22,20,16,275,502,2845,12,19,26,151,10.33,0,0,0,0,,0,11,5,0,,,131.0,130.9,163.9,149.9,,83,
Jeff Heuerman,DEN,TE,27,25,21,0,0,0,0,0,0,0,,0,68,45,395,17.200000000000003,3,0,0,3,,,57.0,102.5,108.5,80.0,,94,
A.J. McCarron,HOU,QB,29,4,1,22,40,233,0,1,8,37,7.13,1,0,0,0,,0,1,0,1,,,,17.0,18.0,18.0,,115,
Cam Newton,CAR,QB,30,16,16,370,560,3967,24,14,106,486,4.43,4,0,0,0,,0,8,2,4,,,300.0,299.3,324.3,313.3,,63,
Nick O'Leary,2TM,TE,27,24,12,0,0,0,0,0,0,0,,0,28,21,195,19.130000000000003,2,1,0,2,,,32.0,52.5,55.5,42.0,,132,
Nick Vannett,2TM,TE,26,31,16,0,0,0,0,0,0,0,,0,65,46,435,19.04,3,1,0,3,,,62.0,107.5,113.5,84.5,,93,
Ben Watson,NWE,TE,39,26,12,0,0,0,0,0,0,0,,0,70,52,573,21.61,2,0,0,2,,,69.0,121.3,127.3,95.3,,85,
T.J. Yeldon,BUF,RB,26,20,5,0,0,0,0,0,121,477,7.6899999999999995,1,93,68,611,18.39,4,2,2,5,,,135.0,202.79999999999998,213.8,168.79999999999998,,126,
Robert Griffin,BAL,QB,29,10,1,25,44,246,1,2,20,70,,0,0,0,0,,0,0,0,0,,,17.0,16.8,18.8,18.8,,114,
Robert Tonyan,GNB,TE,25,27,2,0,0,0,0,0,0,0,,0,21,14,177,29.25,2,0,0,2,,,30.0,43.7,46.7,36.7,,136,
Joshua Perkins,PHI,TE,26,14,1,0,0,0,0,0,0,0,,0,24,14,154,23.07,1,0,0,1,,,22.0,35.4,35.4,28.4,,156,
MyCole Pruitt,TEN,TE,27,31,11,0,0,0,0,0,0,0,,0,19,15,192,26.33,2,0,0,2,,,31.0,46.2,49.2,38.7,,132,
Wendell Smallwood,WAS,RB,25,31,6,0,0,0,0,0,109,445,7.859999999999999,3,48,37,294,15.32,2,2,1,5,,,104.0,140.9,147.9,122.4,,140,
DeAndre Carter,HOU,WR,26,30,7,0,0,0,0,0,1,7,,0,39,33,378,24.55,0,7,2,0,,,34.0,67.5,75.5,51.0,,283,
Seth Devalve,JAX,TE,26,25,10,0,0,0,0,0,0,0,,0,25,17,214,26.47,1,0,0,1,,,27.0,44.4,47.4,35.9,,141,
Trey Edmunds,PIT,RB,25,15,0,0,0,0,0,0,22,92,,0,7,6,48,,0,0,0,0,,,,,,,,255,
Virgil Green,LAC,TE,31,31,20,0,0,0,0,0,0,0,,0,40,28,288,19.72,2,0,0,2,,,41.0,68.8,71.8,54.8,,119,
Jesse James,DET,TE,25,32,18,0,0,0,0,0,0,0,,0,66,46,565,22.98,2,0,0,2,,,68.0,114.5,120.5,91.5,,89,
Daniel Brown,NYJ,TE,27,30,5,0,0,0,0,0,0,0,,0,11,7,72,,1,0,0,1,,,,,,,,190,
Rico Gafford,OAK,WR,23,5,1,0,0,0,0,0,0,0,,0,2,2,66,,1,0,0,1,,,,,,,,372,
Tyler Kroft,BUF,TE,27,16,5,0,0,0,0,0,0,0,,0,20,10,107,20.83,1,0,0,1,,,17.0,26.700000000000003,26.700000000000003,21.700000000000003,,176,
Ben Roethlisberger,PIT,QB,37,18,18,487,737,5480,34,17,32,105,10.16,3,1,1,-1,,0,8,2,3,,,354.0,354.59999999999997,379.59999999999997,371.09999999999997,,56,
Ben Braunecker,CHI,TE,25,26,5,0,0,0,0,0,0,0,,0,16,9,101,23.83,1,0,0,1,,,16.0,25.099999999999998,25.099999999999998,20.6,,174,
Antonio Brown,NWE,WR,31,16,15,0,1,0,0,0,1,5,,0,176,108,1353,26.47,16,0,0,16,,,232.0,339.8,342.8,285.8,,150,
Rashard Higgins,CLE,WR,25,23,2,0,0,0,0,0,0,0,,0,64,43,627,28.42,5,2,1,5,,,91.0,133.7,137.7,112.2,,207,
Javorius Allen,NYG,RB,28,24,0,0,0,0,0,0,51,146,6.28,4,45,36,205,14.6,2,1,1,6,,,70.0,105.1,112.1,87.1,,168,
Darren Sproles,PHI,RB,36,12,3,0,0,0,0,0,46,186,8.02,1,33,21,184,14.67,2,1,0,3,,,57.0,78.0,84.0,67.5,,175,
Brandon Zylstra,CAR,WR,26,24,0,0,0,0,0,0,0,0,,0,14,9,129,36.25,0,1,0,0,,,13.0,21.900000000000002,24.900000000000002,17.4,,333,
Marcell Ateman,OAK,WR,25,18,6,0,0,0,0,0,0,0,,0,41,20,270,33.47,1,1,1,1,,,31.0,51.0,58.0,41.0,,291,
Andy Janovich,DEN,RB,26,23,10,0,0,0,0,0,3,6,3.5,1,15,13,154,22.4,1,0,0,2,,,28.0,41.0,44.0,34.5,,195,
T.J. Jones,NYG,WR,27,18,3,0,0,0,0,0,0,0,,0,30,22,228,22.67,3,3,0,3,,,41.0,62.8,65.8,51.8,,271,
JJ Nelson,OAK,WR,27,16,3,0,0,0,0,0,4,0,,0,24,11,100,18.14,1,0,0,1,,,16.0,27.0,27.0,21.5,,319,
David Njoku,CLE,TE,23,20,15,0,0,0,0,0,0,0,,0,98,61,680,19.61,5,0,0,5,,,98.0,159.0,162.0,128.5,,85,
Danny Vitale,GNB,RB,26,20,4,0,0,0,0,0,1,3,,0,14,8,99,15.86,0,0,0,0,,,,18.2,18.2,14.2,,259,
Derek Watt,LAC,RB,27,32,7,0,0,0,0,0,11,21,4.18,1,6,4,34,12.67,0,0,0,1,,,11.0,15.5,15.5,13.5,,250,
Mo Alie-Cox,IND,TE,26,25,3,0,0,0,0,0,0,0,,0,24,15,226,30.630000000000003,2,0,0,2,,,34.0,49.599999999999994,52.599999999999994,42.1,,130,
Kenjon Barner,ATL,RB,29,23,0,1,1,3,0,0,23,99,10.74,0,9,7,25,6.67,0,5,1,1,,,16.0,23.5,24.5,20.0,,222,
Antonio Callaway,CLE,WR,22,20,13,0,0,0,0,0,2,7,,0,94,51,675,24.76,5,1,1,5,,,98.0,149.20000000000002,153.20000000000002,123.7,,209,
Robert Foster,BUF,WR,25,26,5,0,0,0,0,0,2,29,,0,62,30,605,41.37,3,0,0,3,,,81.0,111.39999999999999,114.39999999999999,96.39999999999999,,226,
Marshawn Lynch,SEA,RB,33,7,6,0,0,0,0,0,102,410,7.01,4,20,15,84,,0,0,0,4,,,73.0,88.4,91.4,80.9,,164,
Lee Smith,BUF,TE,32,32,9,0,0,0,0,0,0,0,,0,16,14,104,15.05,4,0,0,4,,,34.0,48.4,48.4,41.4,,132,
Alex Armah,CAR,RB,25,32,3,0,0,0,0,0,15,26,3.5,3,3,3,11,8.0,0,0,0,3,,,22.0,24.7,24.7,23.2,,209,
Nick Bellore,SEA,RB,30,28,5,0,0,0,0,0,1,0,,0,6,6,38,15.25,1,0,0,1,,,10.0,15.8,15.8,12.8,,251,
Trey Burton,CHI,TE,28,24,21,0,0,0,0,0,1,2,,0,100,68,653,16.54,6,1,1,6,,,101.0,169.5,173.5,135.5,,88,
KhaDarel Hodge,CLE,WR,24,30,1,0,0,0,0,0,0,0,,0,13,6,93,27.5,0,0,0,0,,,10.0,15.3,15.3,12.3,,352,
Trent Sherfield,ARI,WR,23,29,3,0,0,0,0,0,0,0,,0,41,23,290,31.05,1,0,0,1,,,35.0,58.0,61.0,46.5,,287,
Luke Willson,SEA,TE,29,22,15,0,0,0,0,0,0,0,,0,29,21,166,16.57,0,0,0,0,,,17.0,37.6,37.6,27.1,,164,
Chad Beebe,MIN,WR,25,6,0,0,0,0,0,0,0,0,,0,6,6,109,44.75,0,3,0,0,,,11.0,16.9,16.9,13.9,,339,
Blake Bell,KAN,TE,28,25,11,0,0,0,0,0,0,0,,0,26,16,134,16.76,0,0,0,0,,,14.0,29.4,29.4,21.4,,173,
Devontae Booker,DEN,RB,27,32,0,0,0,0,0,0,36,192,9.879999999999999,1,60,44,332,16.740000000000002,0,1,1,1,,,57.0,100.39999999999999,107.39999999999999,78.39999999999999,,186,
Chris Hogan,CAR,WR,32,23,8,0,0,0,0,0,0,0,,0,70,43,599,23.58,3,0,0,3,,,78.0,120.9,123.9,99.4,,236,
Adam Shaheen,CHI,TE,25,14,6,0,0,0,0,0,0,0,,0,19,14,122,17.82,1,1,1,1,2.0,,20.0,34.2,35.2,27.200000000000003,,157,
Durham Smythe,MIA,TE,24,31,16,0,0,0,0,0,0,0,,0,25,13,115,17.619999999999997,0,0,0,0,,,12.0,24.5,24.5,18.0,,181,
Geoff Swaim,JAX,TE,26,15,11,0,0,0,0,0,0,0,,0,49,39,307,14.31,1,0,0,1,,,37.0,75.7,78.7,56.2,,129,
Spencer Ware,KAN,RB,28,16,3,0,0,0,0,0,68,297,7.82,2,30,25,246,15.6,0,1,0,2,,,66.0,91.3,97.3,78.8,,177,
Dwayne Washington,NOR,RB,25,29,0,0,0,0,0,0,35,214,13.2,0,1,1,6,,0,0,0,0,,,22.0,23.0,26.0,22.5,,209,
Matt Barkley,BUF,QB,29,3,1,42,76,591,2,3,5,-6,-2.67,0,0,0,0,,0,3,1,0,,,23.0,23.1,30.1,26.1,,106,
Tyler Conklin,MIN,TE,24,31,4,0,0,0,0,0,0,0,,0,17,13,135,22.65,0,0,0,0,,,14.0,26.5,26.5,20.0,,173,
Chris Lacy,DET,WR,23,8,2,0,0,0,0,0,0,0,,0,11,3,60,,0,0,0,0,,,,,,,,392,
Zach Line,NOR,RB,29,28,8,0,0,0,0,0,16,61,7.42,0,20,11,50,8.8,2,0,0,2,,,24.0,34.1,34.1,28.6,,210,
Tyrod Taylor,LAC,QB,30,12,3,46,91,506,3,2,26,132,8.51,1,1,0,0,,0,3,0,1,,,47.0,47.4,55.4,49.4,,97,
Clive Walford,MIA,TE,28,8,4,0,0,0,0,0,0,4,,0,8,4,57,,0,0,0,0,,,,,,,,218,
Deontay Burnett,PHI,WR,22,6,2,0,0,0,0,0,0,0,,0,19,12,191,38.3,0,0,0,0,,,19.0,31.1,34.1,25.1,,325,
Mike Davis,2TM,RB,26,27,3,0,0,0,0,0,125,541,6.67,4,50,41,236,9.43,1,0,0,5,,,108.0,148.70000000000002,154.70000000000002,128.2,,157,
Patrick DiMarco,BUF,RB,30,32,9,0,0,0,0,0,4,16,11.33,0,11,8,103,28.87,0,0,0,0,,,12.0,19.9,19.9,15.899999999999999,,238,
Lance Kendricks,LAC,TE,31,28,4,0,0,0,0,0,0,0,,0,32,22,220,25.62,1,0,0,1,,,28.0,50.0,53.0,39.0,,147,
Elijhaa Penny,NYG,RB,26,30,4,0,0,0,0,0,22,64,6.17,0,13,10,59,10.75,0,0,0,0,,,13.0,22.3,22.3,17.3,,236,
Luke Stocker,ATL,TE,31,31,20,0,0,0,0,0,1,0,,0,35,23,218,17.63,2,1,0,2,,,34.0,56.8,59.8,45.3,,134,
Deon Yelder,KAN,TE,24,12,1,0,0,0,0,0,0,0,,0,4,3,50,,0,0,0,0,,,,,,,,226,
C.J. Anderson,DET,RB,28,13,3,0,0,0,0,0,83,446,8.7,2,9,5,41,,1,0,0,3,,,66.0,71.7,74.7,69.2,,185,
Geremy Davis,LAC,WR,27,21,1,0,0,0,0,0,0,0,,0,4,3,38,,0,0,0,0,,,,,,,,407,
Mike Glennon,OAK,QB,30,4,0,21,31,230,2,0,2,0,,0,0,0,0,,0,3,1,0,,,15.0,15.2,16.2,15.2,,112,
Colt McCoy,WAS,QB,33,4,3,52,81,494,3,4,12,77,13.3,0,0,0,0,,0,3,0,0,,,31.0,31.5,38.5,35.5,,104,
Steven Mitchell,HOU,WR,25,4,1,0,0,0,0,0,0,0,,0,6,2,37,,0,0,0,0,,,,,,,,382,
Jay Ajayi,PHI,RB,26,7,3,0,0,0,0,0,55,214,7.09,3,7,5,20,,0,1,1,3,,,41.0,46.4,50.4,43.9,,207,
Travis Benjamin,LAC,WR,30,17,5,0,0,0,0,0,7,41,,0,40,18,216,20.5,1,0,0,1,,,32.0,49.7,52.7,40.7,,304,
Cody Core,NYG,WR,25,30,3,0,0,0,0,0,0,0,,0,33,16,188,21.64,1,0,0,1,,,27.0,42.8,45.8,34.8,,318,
Dalyn Dawkins,TEN,RB,25,4,0,0,0,0,0,0,11,26,,0,1,0,0,,0,0,0,0,,,,,,,,285,
Devin Funchess,IND,WR,25,15,13,0,0,0,0,0,0,0,,0,84,47,581,23.15,4,0,0,4,,,82.0,129.1,132.1,105.60000000000001,,237,
Johnny Holton,PIT,WR,28,17,3,0,0,0,0,0,1,9,,0,16,3,21,,0,0,0,0,,,,,,,,418,
Jordan Matthews,2TM,WR,27,17,4,0,0,0,0,0,0,0,,0,40,24,333,23.25,2,0,0,2,,,45.0,69.3,72.3,57.3,,277,
Johnny Mundt,LAR,TE,25,23,2,0,0,0,0,0,0,0,,0,8,5,31,11.5,0,0,0,0,,,4.0,8.1,8.1,5.6,,216,
Andre Roberts,BUF,WR,31,29,1,0,0,0,0,0,3,27,17.0,0,24,13,99,14.57,1,4,1,3,,,29.0,41.6,42.6,35.1,,316,
Da'Mari Scott,NYG,WR,24,8,2,0,0,0,0,0,1,5,,0,3,2,22,,0,0,0,0,,,,,,,,424,
Russell Shepard,NYG,WR,29,15,0,0,0,0,0,0,0,0,,0,27,13,213,27.130000000000003,2,0,0,2,,,34.0,46.3,49.3,39.8,,309,
Anthony Sherman,KAN,RB,31,32,1,0,0,0,0,0,5,11,4.25,0,12,10,118,23.0,1,0,0,1,,,19.0,28.9,28.9,23.9,,221,
Cam Sims,WAS,WR,23,8,1,0,0,0,0,0,0,0,,0,3,2,27,,0,0,0,0,,,,,,,,404,
Ryan Switzer,PIT,WR,25,25,1,0,0,0,0,0,6,21,,0,55,44,280,10.41,1,3,0,1,,,36.0,80.10000000000001,83.10000000000001,58.1,,300,
Josh Bellamy,NYJ,WR,30,23,2,0,0,0,0,0,0,0,,0,28,16,137,18.36,1,0,0,1,,,22.0,37.7,40.7,29.7,,333,
Michael Crabtree,ARI,WR,32,18,17,0,0,0,0,0,0,0,,0,105,58,629,16.740000000000002,3,0,0,3,,,81.0,138.89999999999998,141.89999999999998,109.9,,249,
Tyler Ervin,2TM,RB,26,19,0,0,0,0,0,0,1,10,,0,7,5,46,17.17,0,3,0,0,,,6.0,10.6,10.6,8.1,,258,
Darius Jennings,TEN,WR,27,24,0,1,1,21,0,0,1,2,,0,20,13,118,17.68,0,0,0,1,,,19.0,31.8,34.800000000000004,25.3,,342,
T.J. Logan,TAM,RB,25,22,0,0,0,0,0,0,5,12,4.33,0,10,9,50,11.79,0,0,0,0,,,6.0,15.2,15.2,10.7,,252,
Donte Moncrief,2TM,WR,26,24,16,0,0,0,0,0,0,0,,0,104,52,686,18.42,3,1,1,3,,,85.0,136.60000000000002,140.60000000000002,110.6,,249,
Chris Moore,BAL,WR,26,30,1,0,0,0,0,0,6,17,3.4,0,30,22,217,17.32,1,0,0,1,,,29.0,51.4,54.4,40.4,,316,
Samaje Perine,2TM,RB,24,12,0,0,0,0,0,0,13,48,7.2,0,4,3,5,,0,0,0,0,,,6.0,8.3,8.3,6.800000000000001,,260,
Eric Saubert,CHI,TE,25,18,1,0,0,0,0,0,0,0,,0,12,7,69,20.1,0,0,0,0,,,7.0,13.9,13.9,10.4,,196,
Keith Smith,ATL,RB,27,32,8,0,0,0,0,0,6,8,1.6,0,9,6,36,17.6,0,0,0,0,,,4.0,10.4,10.4,7.4,,265,
Bobo Wilson,TAM,WR,24,11,1,0,0,0,0,0,0,0,,0,16,7,87,24.67,0,3,1,0,,,7.0,13.7,14.7,10.2,,373,
Zach Zenner,3TM,RB,28,13,1,0,0,0,0,0,58,263,4.15,3,13,9,75,17.5,0,0,0,3,,,52.0,60.800000000000004,63.800000000000004,56.300000000000004,,203,
Josh Adams,NYJ,RB,23,17,5,0,0,0,0,0,128,523,5.76,3,13,7,58,,0,1,1,3,,,76.0,83.10000000000001,87.10000000000001,79.60000000000001,,191,
Antony Auclair,TAM,TE,26,24,15,0,0,0,0,0,0,0,,0,11,8,59,17.86,0,0,0,0,,,6.0,13.9,13.9,9.9,,200,
Austin Carr,NOR,WR,26,20,5,0,0,0,0,0,0,0,,0,18,10,106,19.78,2,0,0,2,,,23.0,32.6,32.6,27.599999999999998,,347,
Sean Culkin,LAC,TE,26,17,12,0,0,0,0,0,0,0,,0,3,2,36,36.0,0,0,0,0,,,3.0,5.6,5.6,4.6,,210,
Ryan Grant,OAK,WR,29,16,11,0,0,0,0,0,0,0,,0,61,39,348,13.04,1,0,0,1,,,40.0,79.80000000000001,82.80000000000001,60.3,,307,
Dwayne Harris,OAK,WR,32,18,1,0,0,0,0,0,2,12,,0,7,7,47,13.67,0,2,0,1,,,12.0,18.9,18.9,15.399999999999999,,371,
Chris Herndon,NYJ,TE,23,17,12,0,0,0,0,0,0,0,,0,58,40,509,19.869999999999997,4,2,0,4,,,75.0,114.9,117.9,94.9,,124,
Buddy Howell,HOU,RB,23,31,0,0,0,0,0,0,5,10,,0,0,0,0,,0,0,0,0,,,,,,,,302,
John Kelly,LAR,RB,23,8,0,0,0,0,0,0,30,83,5.74,0,3,2,27,,0,0,0,0,,,11.0,13.0,13.0,12.0,,246,
Ben Koyack,JAX,TE,26,18,8,0,0,0,0,0,0,0,,0,3,1,9,,0,0,0,0,,,,,,,,234,
Chris Manhertz,CAR,TE,27,31,10,0,0,0,0,0,0,0,,0,6,3,63,37.0,1,0,0,1,,,12.0,15.299999999999999,15.299999999999999,13.799999999999999,,179,
Josh McCown,PHI,QB,40,7,3,63,115,563,1,4,7,30,5.4,0,0,0,0,,0,0,0,0,,,22.0,21.6,28.6,25.6,,109,
Ricky Ortiz,NOR,RB,25,13,9,0,0,0,0,0,0,0,,0,5,4,19,11.67,0,0,0,0,,,2.0,5.8999999999999995,5.8999999999999995,3.9000000000000004,,290,
Dalton Schultz,DAL,TE,23,27,7,0,0,0,0,0,0,0,,0,19,13,122,15.67,0,0,0,0,,,13.0,25.200000000000003,28.200000000000003,18.700000000000003,,185,
Scott Simonson,NYG,TE,27,21,5,0,0,0,0,0,0,0,,0,16,11,97,15.06,1,0,0,1,,,16.0,26.700000000000003,26.700000000000003,21.200000000000003,,174,
Tyrone Swoopes,SEA,TE,25,6,3,0,0,0,0,0,0,0,,0,2,2,28,28.0,0,0,0,0,,,3.0,4.8,4.8,3.8,,221,
De'Anthony Thomas,2TM,WR,26,19,0,0,0,0,0,0,3,11,8.5,0,7,4,35,15.67,1,4,0,1,,,11.0,14.6,14.6,12.6,,371,
Jordan Thomas,HOU,TE,23,21,12,0,0,0,0,0,0,0,,0,30,21,223,18.75,4,0,0,4,,,47.0,67.3,70.3,56.8,,136,
Mike Thomas,LAR,WR,25,17,0,0,0,0,0,0,0,0,,0,5,2,14,,0,0,0,0,,,,,,,,424,
Levine Toilolo,SFO,TE,28,29,10,0,0,0,0,0,0,0,,0,26,23,273,17.52,1,0,0,1,,,33.0,56.3,59.3,44.8,,145,
De'Lance Turner,MIA,RB,24,12,0,0,0,0,0,0,5,10,5.5,0,2,2,17,,0,0,0,0,,,3.0,4.699999999999999,4.699999999999999,3.7,,281,
Deante Burton,DAL,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,435,
Trenton Cannon,NYJ,,25,20,0,0,0,0,0,0,38,113,,1,25,17,144,,0,0,0,1,,,,,,,,239,
Garrett Celek,SFO,,31,20,2,0,0,0,0,0,0,0,,0,8,5,90,,2,0,0,2,,,,,,,,183,
River Cracraft,DEN,,25,9,0,0,0,0,0,0,0,0,,0,2,1,44,,0,1,1,0,,,,,,,,415,
Jerome Cunningham,WAS,,28,5,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,243,
Darrell Daniels,ARI,TE,25,22,3,0,0,0,0,0,0,0,,0,5,1,4,,0,0,0,0,,,,,,,,245,
James Develin,NWE,RB,31,18,10,0,0,0,0,0,8,11,2.83,4,17,12,61,,0,0,0,4,,,,43.199999999999996,43.199999999999996,37.199999999999996,,237,
Garrett Dickerson,NYG,,24,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,259,
Gehrig Dieter,KAN,,26,6,0,0,0,0,0,0,0,0,,0,3,1,22,,0,0,0,0,,,,,,,,415,
Josh Doctson,MIN,,27,16,12,0,0,0,0,0,0,0,,0,78,44,532,,2,0,0,2,,,,,,,,296,
Quinton Dunbar,WAS,,27,18,17,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,436,
Alex Ellis,PHI,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,246,
David Fluellen,TEN,,27,9,0,0,0,0,0,0,4,16,,0,0,0,0,,0,0,0,0,,,,,,,,298,
Garrett Gilbert,CLE,QB,28,6,0,2,6,40,0,0,3,-3,,0,0,0,0,,0,0,0,0,,,,1.3,1.3,1.3,,129,
C.J. Goodwin,DAL,,29,19,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,472,
Xavier Grimble,PIT,TE,27,19,3,0,0,0,0,0,0,0,,0,11,7,89,17.33,0,1,1,0,,,,13.9,14.9,10.4,,205,
Justin Hardee,NOR,,25,32,0,0,0,0,0,0,0,0,,0,2,1,10,,0,0,0,0,,,,,,,,428,
Clark Harris,CIN,,35,32,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,247,
Darvin Kidsy,WAS,,24,5,0,0,0,0,0,0,0,0,,0,2,1,8,,0,0,0,0,,,,,,,,426,
Keith Kirkwood,NOR,,26,9,1,0,0,0,0,0,0,0,,0,21,13,209,,2,0,0,2,,,,,,,,337,
Matt Lengel,IND,,29,12,3,0,0,0,0,0,0,0,,0,8,3,17,,1,0,0,1,,,,,,,,209,
Josh Malone,NYJ,,23,11,0,0,0,0,0,0,0,0,,0,5,1,12,,0,0,0,0,,,,,,,,428,
Jeremy McNichols,JAX,,24,3,0,0,0,0,0,0,4,8,,0,0,0,0,,0,0,0,0,,,,,,,,313,
Jaydon Mickens,TAM,,25,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,470,
Alfred Morris,ARI,RB,31,13,1,0,0,0,0,0,112,432,7.859999999999999,2,13,8,73,,0,2,1,2,,,,68.5,72.5,64.5,,213,
Nick Mullens,SFO,QB,24,9,8,176,274,2277,13,10,21,-19,-1.8900000000000001,0,0,0,0,,0,2,0,0,,,,123.2,136.2,133.2,,102,
Jojo Natson,LAR,,25,25,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,1,0,,,,,,,,481,
Roosevelt Nix,PIT,RB,27,19,0,0,0,0,0,0,1,4,,0,9,6,42,11.5,0,0,0,0,,,,10.6,10.6,7.6,,268,
Jamize Olawale,DAL,,30,32,9,0,0,0,0,0,0,0,,0,6,2,13,,0,0,0,0,,,,,,,,145,
Senorise Perry,BUF,RB,28,27,0,0,0,0,0,0,3,3,,0,1,1,1,,0,0,0,0,,,,,,,,307,
Richard Rodgers,PHI,,27,8,0,0,0,0,0,0,0,0,,0,1,1,7,,0,0,0,0,,,,,,,,248,
Cooper Rush,DAL,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,
Mason Schreck,CIN,,26,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,258,
Matthew Slater,NWE,,34,32,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,449,
Rod Smith,2TM,,27,22,1,0,0,0,0,0,44,127,,1,12,9,60,,0,0,0,1,,,,,,,,248,
Nate Solder,NYG,,31,32,32,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,259,
Taywan Taylor,CLE,,24,16,6,0,0,0,0,0,0,0,,0,57,37,466,,1,1,1,1,,,,,,,,320,
Eric Tomlinson,3TM,TE,27,23,15,0,0,0,0,0,0,0,,0,15,9,73,10.0,0,0,0,0,,,,16.3,16.3,11.799999999999999,,203,
Robert Turbin,SEA,,30,3,0,0,0,0,0,0,4,10,,0,2,1,3,,0,1,1,0,,,,,,,,324,
Chad Williams,IND,,25,11,7,0,0,0,0,0,1,9,,0,47,17,171,,1,0,0,1,,,,,,,,359,
Blake Bortles,LAR,QB,27,16,12,244,405,2721,13,11,60,356,1.79,1,0,0,0,,0,8,4,1,,,172.0,172.39999999999998,193.39999999999998,183.39999999999998,,97,
Sean Mannion,MIN,QB,27,6,1,14,24,149,0,2,13,-14,-2.12,0,0,0,0,,0,1,1,0,,,,,,,,139,
Quincy Enunwa,NYJ,WR,27,12,11,0,0,0,0,0,1,0,,0,71,39,445,7.82,1,3,2,1,,,47.0,85.5,90.5,66.0,,334,
Ray-Ray McCloud,CAR,,23,16,1,0,0,0,0,0,2,4,,0,6,5,36,,0,5,2,0,,,0.0,5.0,7.0,2.5,,428,
Corey Clement,PHI,,25,15,0,0,0,0,0,0,68,259,,2,25,22,192,,0,6,2,2,,,55.0,77.1,85.1,66.1,,228,
