teamname;week1;week2;week3;week4
ArizonaCardinals;2;0;0;0
AtlantaFalcons;0;1;0;0
BaltimoreRavens;1;1;0;0
BuffaloBills;1;1;1;0
CarolinaPanthers;0;0;1;1
ChicagoBears;0;1;1;1
CincinnatiBengals;0;0;0;0
ClevelandBrowns;0;1;0;1
DallasCowboys;1;1;1;0
DenverBroncos;0;0;0;0
DetroitLions;2;1;1;0
GreenBayPackers;1;1;1;0
HoustonTexans;0;1;1;0
IndianapolisColts;0;1;1;0
JacksonvilleJaguars;0;0;1;1
KansasCityChiefs;1;1;1;1
LosAngelesChargers;1;0;0;1
LosAngelesRams;1;1;1;0
MiamiDolphins;0;0;0;0
MinnesotaVikings;1;0;1;0
NewEnglandPatriots;1;1;1;1
NewOrleansSaints;1;0;1;1
NewYorkGiants;0;0;1;1
NewYorkJets;0;0;0;3
OaklandRaiders;1;0;0;1
PhiladelphiaEagles;1;0;0;1
PittsburghSteelers;0;0;0;1
SanFrancisco49ers;1;1;1;3
SeattleSeahawks;1;1;0;1
TampaBayBuccaneers;0;1;0;1
TennesseeTitans;1;0;0;1
WashingtonRedskins;0;0;0;0